"activityID" "activity"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
2 "walkingupstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
4 "sitting"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
